Master Subject ID,Primary Key,Occurred Date,Location,Subject Sex,Subject Race,Subject Race Ethnicity,X Coordinate,Y Coordinate,Council District,County Code,Zip Code,Census Tract,County Description
1283296: 20201991563,20201991563,07/17/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1283297: 20201991563,20201991563,07/17/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1283298: 20201861258,20201861258,07/04/2020 12:00:00 AM,700 E 8TH ST,-,-,-,3116658,10070827,9,1,78701,11,TRAVIS COUNTY
1283301: 20201991563,20201991563,07/17/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1283302: 20201991563,20201991563,07/17/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1283303: 20201991563,20201991563,07/17/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1283434: 20201991478,20201991478,07/17/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1283539: 20201861162,20201861162,07/04/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1283684: 20201861258,20201861258,07/04/2020 12:00:00 AM,700 E 8TH ST,-,-,-,3116658,10070827,9,1,78701,11,TRAVIS COUNTY
1286133: 20202131495,20202131495,07/31/2020 12:00:00 AM,E 7TH ST / TRINITY ST,-,-,-,3115530,10070760,9,1,78701,11,TRAVIS COUNTY
1286400: 20201530551,20201530551,06/02/2020 12:00:00 AM,E 8TH ST / N IH 35 SVRD SB,-,-,-,3117000,10070692,1,1,78701,11,TRAVIS COUNTY
1286885: 20202211539,20202211539,08/08/2020 12:00:00 AM,400 CONGRESS AVE,-,-,-,3113984,10070176,9,1,78701,11,TRAVIS COUNTY
1286987: 20202211539,20202211539,08/08/2020 12:00:00 AM,400 CONGRESS AVE,-,-,-,3113984,10070176,9,1,78701,11,TRAVIS COUNTY
1287075: 20202221013,20202221013,08/09/2020 12:00:00 AM,700K E 8TH ST,-,-,-,3116658,10070827,9,1,78701,11,TRAVIS COUNTY
1287076: 20202220926,20202220926,08/09/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1287167: 20202211539,20202211539,08/08/2020 12:00:00 AM,400 CONGRESS AVE,-,-,-,3113984,10070176,9,1,78701,11,TRAVIS COUNTY
1287480: 20202211539,20202211539,08/08/2020 12:00:00 AM,400 CONGRESS AVE,-,-,-,3113984,10070176,9,1,78701,11,TRAVIS COUNTY
1287481: 20202211539,20202211539,08/08/2020 12:00:00 AM,400 CONGRESS AVE,-,-,-,3113984,10070176,9,1,78701,11,TRAVIS COUNTY
1287482: 20202211539,20202211539,08/08/2020 12:00:00 AM,400 CONGRESS AVE,-,-,-,3113984,10070176,9,1,78701,11,TRAVIS COUNTY
1287545: 20202220453,20202220453,08/09/2020 12:00:00 AM,700K E 8TH ST,-,-,-,3116658,10070827,9,1,78701,11,TRAVIS COUNTY
1287546: 20202220453,20202220453,08/09/2020 12:00:00 AM,700K E 8TH ST,-,-,-,3116658,10070827,9,1,78701,11,TRAVIS COUNTY
1287547: 20202220453,20202220453,08/09/2020 12:00:00 AM,700K E 8TH ST,-,-,-,3116658,10070827,9,1,78701,11,TRAVIS COUNTY
1287928: 20202131495,20202131495,07/31/2020 12:00:00 AM,E 7TH ST / TRINITY ST,-,-,-,3115530,10070760,9,1,78701,11,TRAVIS COUNTY
1287929: 20202131495,20202131495,07/31/2020 12:00:00 AM,E 7TH ST / TRINITY ST,-,-,-,3115530,10070760,9,1,78701,11,TRAVIS COUNTY
1288017: 20202220928,20202220928,08/09/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1288357: 20202300325,20202300325,08/17/2020 12:00:00 AM,14233 THE LAKES BLVD,-,-,-,3137385,10129940,7,1,78660,442,TRAVIS COUNTY
1288476: 20202141512,20202141512,08/01/2020 12:00:00 AM,4TH ST AND S CONGRESS AVE,-,-,-,-,-,-,-,-,-,Other
1288590: 20202220453,20202220453,08/09/2020 12:00:00 AM,700K E 8TH ST,-,-,-,3116658,10070827,9,1,78701,11,TRAVIS COUNTY
1289121: 20202220928,20202220928,08/09/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1289335: 20202220967,20202220967,08/09/2020 12:00:00 AM,700 E 8TH ST,-,-,-,3116658,10070827,9,1,78701,11,TRAVIS COUNTY
1290860: 20202421173,20202421173,08/29/2020 12:00:00 AM,E 11TH ST / SAN JACINTO BLVD,-,-,-,3115589,10072236,1,1,78701,11,TRAVIS COUNTY
1290865: 20202421173,20202421173,08/29/2020 12:00:00 AM,E 11TH ST / SAN JACINTO BLVD,-,-,-,3115589,10072236,1,1,78701,11,TRAVIS COUNTY
1290991: 20201720323,20201720323,06/20/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1294979: 20202670767,20202670767,09/23/2020 12:00:00 AM,100 E 4TH ST,-,-,-,3114138,10070091,9,1,78701,11,TRAVIS COUNTY
1295627: 20202710048,20202710048,09/27/2020 12:00:00 AM,E 6TH ST / TRINITY ST,-,-,-,3115416,10070416,9,1,78701,11,TRAVIS COUNTY
1298537: 20202950569,20202950569,10/21/2020 12:00:00 AM,2700 GRACY FARMS LN,-,-,-,3122542,10121386,7,1,78758,453,TRAVIS COUNTY
1298538: 20202950569,20202950569,10/21/2020 12:00:00 AM,2700 GRACY FARMS LN,-,-,-,3122542,10121386,7,1,78758,453,TRAVIS COUNTY
1301050: 20203060129,20203060129,11/01/2020 12:00:00 AM,400 E 6TH ST,-,-,-,3115491,10070521,9,1,78701,11,TRAVIS COUNTY
1301101: 20203060433,20203060433,11/01/2020 12:00:00 AM,E 7TH ST / TRINITY ST,-,-,-,3115530,10070760,9,1,78701,11,TRAVIS COUNTY
1301102: 20203060433,20203060433,11/01/2020 12:00:00 AM,E 7TH ST / TRINITY ST,-,-,-,3115530,10070760,9,1,78701,11,TRAVIS COUNTY
1301346: 20203060129,20203060129,11/01/2020 12:00:00 AM,400 E 6TH ST,-,-,-,3115491,10070521,9,1,78701,11,TRAVIS COUNTY
1301526: 20201710936,20201710936,06/19/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1302551: 20203120142,20203120142,11/07/2020 12:00:00 AM,314 E 6TH ST,-,-,-,3115292,10070580,9,1,78701,11,TRAVIS COUNTY
1302638: 20203120136,20203120136,11/07/2020 12:00:00 AM,500 NECHES ST,-,-,-,3115642,10070000,9,1,78701,11,TRAVIS COUNTY
1304205: 20203240934,20203240934,11/19/2020 12:00:00 AM,6306 E RIVERSIDE DR,-,-,-,3127258,10055405,3,1,78741,23.21,TRAVIS COUNTY
1304773: 20203280093,20203280093,11/23/2020 12:00:00 AM,400 E 6TH ST,-,-,-,3115491,10070521,9,1,78701,11,TRAVIS COUNTY
1310055: 20203600708,20203600708,12/25/2020 12:00:00 AM,701 E 11TH ST,-,-,-,3116996,10071738,1,1,78701,11,TRAVIS COUNTY
1314278: 20203120136,20203120136,11/07/2020 12:00:00 AM,500 NECHES ST,-,-,-,3115642,10070000,9,1,78701,11,TRAVIS COUNTY
1326882: 20201530071,20201530071,06/01/2020 12:00:00 AM,1900 E 7TH ST,-,-,-,3120928,10068995,1,1,78702,9,TRAVIS COUNTY
1326883: 20201530071,20201530071,06/01/2020 12:00:00 AM,1900 E 7TH ST,-,-,-,3120928,10068995,1,1,78702,9,TRAVIS COUNTY
1328039: 20202220453,20202220453,08/09/2020 12:00:00 AM,700K E 8TH ST,-,-,-,3116658,10070827,9,1,78701,11,TRAVIS COUNTY
1329763: 20201791178,20201791178,06/27/2020 12:00:00 AM,5800 S IH 35 SB,-,-,-,3107721,10044725,2,1,78745,24.43,TRAVIS COUNTY
1331284: 20201920253,20201920253,07/10/2020 12:00:00 AM,715 E 8TH ST,-,-,-,3116884,10070627,9,1,78701,11,TRAVIS COUNTY
1704212: 20201170638,20201170638,04/26/2020 12:00:00 AM,9100 WATERFORD CENTRE BLVD,M,B,Black,3117293,10110324,7,1,78758,454,TRAVIS COUNTY
1966414: 20202060730,20202060730,07/24/2020 12:00:00 AM,10205 N LAMAR BLVD,F,W,Hispanic,3129643,10108927,4,1,78753,410,TRAVIS COUNTY
2032211: 20201171183,20201171183,04/26/2020 12:00:00 AM,2017 BARTON SPRINGS RD,F,W,Hispanic,3107017,10069604,8,1,78746,19.11,TRAVIS COUNTY
3473732: 2020130512,2020130512,01/13/2020 12:00:00 AM,5345 N IH 35 SVRD NB,M,W,Hispanic,3125095,10087249,4,1,78723,21,TRAVIS COUNTY
3932571: 2020701239,2020701239,03/10/2020 12:00:00 AM,8906 WALL ST,M,W,Hispanic,3136206,10098294,1,1,78754,436,TRAVIS COUNTY
3932963: 2020150113,2020150113,01/15/2020 12:00:00 AM,7200 EASY WIND DR,M,B,Black,3121068,10097265,7,1,78752,15,TRAVIS COUNTY
3934801: 202031315,202031315,01/03/2020 12:00:00 AM,300 CHALMERS AVE,F,W,Hispanic,3119736,10067920,3,1,78702,9,TRAVIS COUNTY
4653485: 20202220468,20202220468,08/09/2020 12:00:00 AM,1213 SABINE ST,F,B,Black,3117216,10072544,1,1,78701,7,TRAVIS COUNTY
5004132: 20201950049,20201950049,07/13/2020 12:00:00 AM,2501 ANKEN DR,M,B,Black,3119407,10056791,3,1,78741,23.16,TRAVIS COUNTY
5004351: 20201680073,20201680073,06/16/2020 12:00:00 AM,1625 E PARMER LN,M,W,White,3142798,10114603,1,1,78753,438,TRAVIS COUNTY
5006767: 20203000079,20203000079,10/26/2020 12:00:00 AM,406 E 6TH ST,M,B,Black,3115566,10070504,9,1,78701,11,TRAVIS COUNTY
5007314: 202071488,202071488,01/07/2020 12:00:00 AM,BERKMAN DR / BARBARA JORDAN BLVD,M,W,White,3127571,10083515,9,1,78723,3,TRAVIS COUNTY
5007314: 20201101380,20201101380,04/19/2020 12:00:00 AM,8128 N IH 35 SVRD SB,M,W,White,3127902,10098807,4,1,78753,400,TRAVIS COUNTY
5008054: 20201630119,20201630119,06/11/2020 12:00:00 AM,E STASSNEY LN / S IH 35 SVRD SB,F,W,Hispanic,3108051,10045369,3,1,78745,24.43,TRAVIS COUNTY
5009191: 2020201341,2020201341,01/20/2020 12:00:00 AM,5200 E WILLIAM CANNON DR,M,B,Black,3113492,10038801,2,1,78744,24.19,TRAVIS COUNTY
5009433: 20201351063,20201351063,05/14/2020 12:00:00 AM,E ANDERSON LN EB / E ANDERSON LN SVRD EB,F,B,Black,3130857,10094896,4,1,78752,433,TRAVIS COUNTY
5011066: 20203370931,20203370931,12/02/2020 12:00:00 AM,421 THOMPSON LN,M,W,Hispanic,3133490,10060769,3,1,78742,23.10,TRAVIS COUNTY
5020411: 20201211519,20201211519,04/30/2020 12:00:00 AM,11401 FM 2222 RD,F,W,White,3078395,10118880,6,1,78730,350,TRAVIS COUNTY
5022558: 20202221111,20202221111,08/09/2020 12:00:00 AM,10000 N LAMAR BLVD,M,B,Hispanic,3128495,10107901,4,1,78758,409,TRAVIS COUNTY
5024376: 20203331027,20203331027,11/28/2020 12:00:00 AM,1412 W 39TH HALF ST,F,W,Hispanic,3112848,10085777,10,1,78756,2,TRAVIS COUNTY
5025884: 2020840323,2020840323,03/24/2020 12:00:00 AM,2710 S 1ST ST,F,W,White,3108221,10059473,3,1,78704,13,TRAVIS COUNTY
5026120: 20202061220,20202061220,07/24/2020 12:00:00 AM,1717 S PLEASANT VALLEY RD,M,W,Hispanic,3121742,10058946,3,1,78741,23.24,TRAVIS COUNTY
5027863: 20203220994,20203220994,11/17/2020 12:00:00 AM,710 E BEN WHITE BLVD SVRD WB,M,W,Hispanic,3111061,10053193,3,1,78704,23.22,TRAVIS COUNTY
5032690: 2020480828,2020480828,02/17/2020 12:00:00 AM,9600 S IH 35 SVRD SB,M,B,Black,3099540,10031306,5,1,78748,24.37,TRAVIS COUNTY
5032690: 20201080358,20201080358,04/17/2020 12:00:00 AM,2900 BLOCK GONZALES ST,M,B,Black,3125264,10068080,3,1,78702,9,TRAVIS COUNTY
5033271: 2020590204,2020590204,02/28/2020 12:00:00 AM,2600 WICKERSHAM LN,F,W,White,3119901,10054805,3,1,78741,23.13,TRAVIS COUNTY
5034046: 20201530196,20201530196,06/01/2020 12:00:00 AM,2015 BURTON DR,M,B,Black,3118047,10058228,3,1,78741,23.15,TRAVIS COUNTY
5039396: 20202640181,20202640181,09/20/2020 12:00:00 AM,6TH / TRINITY,M,W,Hispanic,3115415,10070416,-,-,-,-,Other
5040622: 20201311204,20201311204,05/10/2020 12:00:00 AM,3000 OAK SPRINGS DR,M,W,Hispanic,3127596,10073050,1,1,78702,8,TRAVIS COUNTY
5045054: 20201721307,20201721307,06/20/2020 12:00:00 AM,4600 S PLEASANT VALLEY RD,M,W,Hispanic,3115007,10047132,2,1,78744,24.11,TRAVIS COUNTY
5045105: 20203341312,20203341312,11/29/2020 12:00:00 AM,3205 SPEEDWAY,M,W,Hispanic,3116279,10081218,9,1,78705,5,TRAVIS COUNTY
5046914: 20201451105,20201451105,05/24/2020 12:00:00 AM,800 E RIVERSIDE DR,M,W,Hispanic,3115207,10064510,9,1,78704,14,TRAVIS COUNTY
5054721: 202050198,202050198,01/05/2020 12:00:00 AM,406 E 6TH ST,M,W,Hispanic,3115566,10070504,9,1,78701,11,TRAVIS COUNTY
5571558: 20201341367,20201341367,05/13/2020 12:00:00 AM,12221 N MOPAC EXPY NB,M,B,Black,3124458,10124136,7,1,78758,422,TRAVIS COUNTY
5572804: 20203561335,20203561335,12/21/2020 12:00:00 AM,1228 DELANO ST,M,W,Hispanic,3134406,10073880,1,1,78721,21.10,TRAVIS COUNTY
5574008: 2020741510,2020741510,03/14/2020 12:00:00 AM,1900 SIMOND AVE,M,W,Hispanic,3126356,10081660,9,1,78723,3,TRAVIS COUNTY
5574008: 20201351235,20201351235,05/15/2020 12:00:00 AM,3304 GUADALUPE ST,M,W,Hispanic,3114914,10082372,9,1,78705,2,TRAVIS COUNTY
5574008: 20202061491,20202061491,07/24/2020 12:00:00 AM,4615 N LAMAR BLVD,M,W,Hispanic,3116420,10088006,9,1,78751,2,TRAVIS COUNTY
6817304: 2020440634,2020440634,02/13/2020 12:00:00 AM,1711 RUTLAND DR,F,B,Black,3123198,10109941,4,1,78758,407,TRAVIS COUNTY
6947331: 2020520139,2020520139,02/21/2020 12:00:00 AM,401 E 6TH ST,M,B,Black,3115440,10070324,9,1,78701,11,TRAVIS COUNTY
7865004: 20202610001,20202610001,09/17/2020 12:00:00 AM,2400 S LAMAR BLVD,F,W,White,3103607,10062827,5,1,78704,13,TRAVIS COUNTY
7865446: 2020730717,2020730717,03/13/2020 12:00:00 AM,2015 E RIVERSIDE DR,F,W,Hispanic,3119270,10060529,3,1,78741,23.16,TRAVIS COUNTY
7867939: 20202440341,20202440341,08/31/2020 12:00:00 AM,5526 N IH 35 SVRD SB,F,W,White,3124751,10088183,4,1,78751,21,TRAVIS COUNTY
7870528: 20203241251,20203241251,11/19/2020 12:00:00 AM,10811 TOPPERWEIN DR,M,W,Hispanic,3125131,10113875,4,1,78758,408,TRAVIS COUNTY
8782763: 20203170528,20203170528,11/12/2020 12:00:00 AM,2433 S PLEASANT VALLEY RD,M,B,Black,3119596,10056152,3,1,78741,23.14,TRAVIS COUNTY
9109936: 20202260785,20202260785,08/13/2020 12:00:00 AM,1408 KAMAR DR,M,W,White,3121315,10103199,7,1,78757,405,TRAVIS COUNTY
9175425: 20201291351,20201291351,05/08/2020 12:00:00 AM,W 5TH ST / GUADALUPE ST,M,B,Black,3113104,10070735,9,1,78701,11,TRAVIS COUNTY
9175801: 20203400342,20203400342,12/05/2020 12:00:00 AM,9705 ABERDEEN WAY,F,W,Hispanic,3134637,10103449,4,1,78753,416,TRAVIS COUNTY
9176875: 20203541134,20203541134,12/19/2020 12:00:00 AM,1704 NELMS DR,M,W,Hispanic,3107922,10043296,2,1,78744,24.19,TRAVIS COUNTY
9183833: 20203131503,20203131503,11/08/2020 12:00:00 AM,2022 E SLAUGHTER LN,M,W,Hispanic,3108902,10028406,2,1,78747,24.40,TRAVIS COUNTY
9192537: 2020632047,2020632047,03/03/2020 12:00:00 AM,4600 NUCKOLS CROSSING RD,F,W,Hispanic,3117292,10045926,2,1,78744,24.13,TRAVIS COUNTY
9192537: 2020861369,2020861369,03/26/2020 12:00:00 AM,810 E SLAUGHTER LN,F,W,Hispanic,3104782,10031065,2,1,78744,24.51,TRAVIS COUNTY
9569612: 20202730461,20202730461,09/29/2020 12:00:00 AM,2900 W ANDERSON LN,F,B,Black,3115239,10104067,7,1,78757,404,TRAVIS COUNTY
9569612: 20202881358,20202881358,10/14/2020 12:00:00 AM,1801 E 51ST ST,F,B,Black,3127953,10083340,9,1,78723,3,TRAVIS COUNTY
9569612: 20203261316,20203261316,11/21/2020 12:00:00 AM,6515 AIRPORT BLVD,F,B,Black,3122529,10093527,4,1,78752,15,TRAVIS COUNTY
9569612: 20203340522,20203340522,11/29/2020 12:00:00 AM,1000 E 41ST ST,F,B,Black,3121344,10082704,9,1,78751,3,TRAVIS COUNTY
9569612: 20203640957,20203640957,12/29/2020 12:00:00 AM,1000 E 41ST ST,F,B,Black,3121344,10082704,9,1,78751,3,TRAVIS COUNTY
9634278: 2020421723,2020421723,02/11/2020 12:00:00 AM,7100 N IH 35 SVRD SB,M,W,Hispanic,3125639,10094350,4,1,78752,15,TRAVIS COUNTY
9634486: 2020841573,2020841573,03/24/2020 12:00:00 AM,MEADOWMEAR DR / WARRINGTON DR,M,W,Hispanic,3135658,10104982,4,1,78753,416,TRAVIS COUNTY
9830699: 20201550841,20201550841,06/03/2020 12:00:00 AM,2000 ANDREW ZILKER RD,M,W,Hispanic,3106719,10069529,8,1,78746,19.11,TRAVIS COUNTY
10092988: 20202470385,20202470385,09/03/2020 12:00:00 AM,919 ACORN OAKS DR,M,W,White,3098229,10043740,2,1,78745,24.24,TRAVIS COUNTY
10158377: 2020731327,2020731327,03/13/2020 12:00:00 AM,1638 E 3RD ST,M,W,White,3119567,10067940,3,1,78702,9,TRAVIS COUNTY
10617653: 20203260736,20203260736,11/21/2020 12:00:00 AM,2709 ROGGE LN,M,B,Black,3133006,10084546,1,1,78723,21,TRAVIS COUNTY
10617895: 20201420759,20201420759,05/21/2020 12:00:00 AM,8324 CAMERON RD,M,B,Hispanic,3132798,10097438,4,1,78753,403,TRAVIS COUNTY
10620055: 20202421173,20202421173,08/29/2020 12:00:00 AM,E 11TH ST / SAN JACINTO BLVD,F,W,White,3115589,10072236,1,1,78701,11,TRAVIS COUNTY
10626412: 20202681317,20202681317,09/24/2020 12:00:00 AM,919 E KOENIG LN SVRD EB,M,W,White,3124785,10090314,4,1,78751,21,TRAVIS COUNTY
10749404: 20202441385,20202441385,08/31/2020 12:00:00 AM,1811 W BEN WHITE BLVD SVRD EB,M,W,Hispanic,3100764,10056042,5,1,78745,20,TRAVIS COUNTY
10749490: 2020312157,2020312157,01/31/2020 12:00:00 AM,803 THOMPSON ST,M,W,White,3125375,10071699,1,1,78702,8,TRAVIS COUNTY
11927931: 2020241625,2020241625,01/24/2020 12:00:00 AM,5710 WHITEBROOK DR,F,B,Black,3141727,10085091,1,1,78724,22,TRAVIS COUNTY
