Unique ID,Primary Key,Occurred Date,Occurred Time,Location,GO Sector Name,Nature of Contact,Reason Desc,R2R Level,Master Subject ID,Highest Subject Resistance by R2R,Weapon Used 1,Weapon Used 2,Weapon Used 3,Weapon Used 4,Weapon Used 5,Number of Shots,Highest Subject Injury by R2R,Effects Officer Desc,Officer Commission Date,Officer Years of Experience Ranges,Officer Yrs of Service,Officer Organization Desc,X Coordinate,Y Coordinate,Council District,County Code,Zip Code,Census Tract,County Description,Highest R2R Level,Used Firearm(s),Used Impact Weapon(s),Used Taser(s),Used Canine(s),Used Chemical Agent(s),Used PIT(s),Used Weaponless
20202013415009191AP8785,2020201341,01/20/2020 12:00:00 AM,1806,5200 E WILLIAM CANNON DR,Frank,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,5009191: 2020201341,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,09/01/2018 12:00:00 AM,1 - 5,1,FRANK 600 EVENINGS REG IV PATROL,3113492,10038801,2,1,78744,24.19,TRAVIS COUNTY,Level 3,0,0,0,0,0,0,1
20202013415009191AP8792,2020201341,01/20/2020 12:00:00 AM,-,5200 E WILLIAM CANNON DR,Frank,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,5009191: 2020201341,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,09/01/2018 12:00:00 AM,1 - 5,1,FRANK 600 EVENINGS REG IV PATROL,3113492,10038801,2,1,78744,24.19,TRAVIS COUNTY,Level 3,0,0,0,0,0,0,1
20202030589395524AP7327,20202030589,07/21/2020 12:00:00 AM,-,600 GROVE BLVD,Henry,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,395524: 20202030589,3 - Defensive Resistance,CED - PRONGS MISSED-ENTER # CYCLES (use #shots field),WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,1,4 - Complaint Of Injury/Pain,COMPLAINT OF INJURY/PAIN,11/30/2012 12:00:00 AM,6 - 10,8,CAREER CRIMINAL UNIT,3127849,10060397,3,1,78741,23.27,TRAVIS COUNTY,Level 3,0,0,1,0,0,0,1
20202146132571806AP7751,202021461,01/02/2020 12:00:00 AM,-,3115 CASTRO ST,Charlie,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,32571806: 202021461,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,5 - Complaint Of Injury/Pain But None Observed,NO COMPLAINT OF INJURY/PAIN,06/23/2017 12:00:00 AM,1 - 5,3,CHARLIE 600 REG III EVENING SHIFT,3126334,10068582,3,1,78702,9,TRAVIS COUNTY,Level 3,0,0,0,0,0,0,1
20202146132571806AP8428,202021461,01/02/2020 12:00:00 AM,2213,3115 CASTRO ST,Charlie,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,32571806: 202021461,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,5 - Complaint Of Injury/Pain But None Observed,NO COMPLAINT OF INJURY/PAIN,06/23/2017 12:00:00 AM,1 - 5,3,CHARLIE 400 REG III PATROL,3126334,10068582,3,1,78702,9,TRAVIS COUNTY,Level 3,0,0,0,0,0,0,1
20202146132571806AP8451,202021461,01/02/2020 12:00:00 AM,-,3115 CASTRO ST,Charlie,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,32571806: 202021461,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,5 - Complaint Of Injury/Pain But None Observed,NO COMPLAINT OF INJURY/PAIN,06/23/2017 12:00:00 AM,1 - 5,3,CHARLIE 600 REG III EVENING SHIFT,3126334,10068582,3,1,78702,9,TRAVIS COUNTY,Level 3,0,0,0,0,0,0,1
20203441366459426AP5613,20203441366,12/09/2020 12:00:00 AM,2146,900 ACORN OAKS DR,Frank,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459426: 20203441366,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,0,5 - Complaint Of Injury/Pain But None Observed,-,06/23/2006 12:00:00 AM,11 - 15,14,PARK 400 SPECIALIZE PTRL,3098779,10043623,2,1,78745,24.24,TRAVIS COUNTY,Level 3,0,0,0,0,0,0,1
20203441366459426AP7835,20203441366,12/09/2020 12:00:00 AM,2146,900 ACORN OAKS DR,Frank,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459426: 20203441366,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,5 - Complaint Of Injury/Pain But None Observed,-,03/20/2015 12:00:00 AM,6 - 10,6,FRANK 600 EVENINGS REG IV PATROL,3098779,10043623,2,1,78745,24.24,TRAVIS COUNTY,Level 3,0,0,0,0,0,0,1
20203441366459426AP8792,20203441366,12/09/2020 12:00:00 AM,2146,900 ACORN OAKS DR,Frank,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459426: 20203441366,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,5 - Complaint Of Injury/Pain But None Observed,-,09/01/2018 12:00:00 AM,1 - 5,2,FRANK 600 EVENINGS REG IV PATROL,3098779,10043623,2,1,78745,24.24,TRAVIS COUNTY,Level 3,0,0,0,0,0,0,1
20204217239634278AP8767,2020421723,02/11/2020 12:00:00 AM,0223,7100 N IH 35 SVRD SB,Ida,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,9634278: 2020421723,3 - Defensive Resistance,CED - PRONGS MISSED-ENTER # CYCLES (use #shots field),-,-,-,-,1,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,09/02/2018 12:00:00 AM,1 - 5,1,IDA 300 REG I PATROL,3125639,10094350,4,1,78752,15,TRAVIS COUNTY,Level 3,0,0,1,0,0,0,0
20204217239634278AP8973,2020421723,02/11/2020 12:00:00 AM,-,7100 N IH 35 SVRD SB,Ida,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,9634278: 2020421723,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,0,4 - Complaint Of Injury/Pain,-,01/27/2020 12:00:00 AM,<1,0,ACADEMY CADET TRAINING REG II,3125639,10094350,4,1,78752,15,TRAVIS COUNTY,Level 3,0,0,0,0,0,0,1
20204406346817304AP7560,2020440634,02/13/2020 12:00:00 AM,1040,1711 RUTLAND DR,Edward,4-DISPATCHED CALL [non MV Stop],TO RESTRAIN FOR SUBJECTS SAFETY,4,6817304: 2020440634,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,12/13/2013 12:00:00 AM,6 - 10,6,EDWARD 200 REG II PATROL,3123198,10109941,4,1,78758,407,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
20204406346817304AP9123,2020440634,02/13/2020 12:00:00 AM,1040,1711 RUTLAND DR,Edward,4-DISPATCHED CALL [non MV Stop],TO RESTRAIN FOR SUBJECTS SAFETY,4,6817304: 2020440634,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,01/27/2020 12:00:00 AM,<1,0,ACADEMY CADET TRAINING REG II,3123198,10109941,4,1,78758,407,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
20204501511259509AP8126,2020450151,02/14/2020 12:00:00 AM,0230,701 TRINITY ST,George,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO DEFEND ANOTHER,4,1259509: 2020450151,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,07/08/2016 12:00:00 AM,1 - 5,4,GEORGE 900 REG I NIGHTS,3115610,10070839,9,1,78701,11,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
20204604121257978AP8790,2020460412,02/15/2020 12:00:00 AM,0538,9516 N LAMAR BLVD,Edward,4-DISPATCHED CALL [non MV Stop],TO RESTRAIN FOR SUBJECTS SAFETY,4,1257978: 2020460412,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,09/01/2018 12:00:00 AM,1 - 5,1,EDWARD 800 REG II PATROL,3128173,10106462,4,1,78758,409,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
20204604121257978AP8801,2020460412,02/15/2020 12:00:00 AM,0538,9516 N LAMAR BLVD,Edward,4-DISPATCHED CALL [non MV Stop],TO RESTRAIN FOR SUBJECTS SAFETY,3,1257978: 2020460412,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,0,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,09/01/2018 12:00:00 AM,1 - 5,1,EDWARD 800 REG II PATROL,3128173,10106462,4,1,78758,409,TRAVIS COUNTY,Level 3,0,0,0,0,0,0,1
20204701651259617AP8235,2020470165,02/16/2020 12:00:00 AM,0128,E 6TH ST / NECHES ST,George,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO DEFEND ANOTHER,3,1259617: 2020470165,2 - Aggressive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,0,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,10/28/2016 12:00:00 AM,1 - 5,3,GEORGE 800 REG 1 NIGHTS,3115762,10070320,9,1,78701,11,TRAVIS COUNTY,Level 3,0,0,0,0,0,0,1
20204808285032690AP3945,2020480828,02/17/2020 12:00:00 AM,-,9600 S IH 35 SVRD SB,Frank,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,5032690: 2020480828,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,07/09/1999 12:00:00 AM,21+,21,DAVID DISTRICT REPS REG IV PARTOL,3099540,10031306,5,1,78748,24.37,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
20205117031523111AP8196,202051170,01/05/2020 12:00:00 AM,-,1100 BLOCK SPRINGDALE RD,Charlie,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,31523111: 202051170,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,4 - Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,10/28/2016 12:00:00 AM,1 - 5,3,CHARLIE 300 REG III PATROL,3130813,10073236,1,1,78721,21,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
20205117031523111AP8411,202051170,01/05/2020 12:00:00 AM,-,1100 BLOCK SPRINGDALE RD,Charlie,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,31523111: 202051170,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,4 - Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,06/23/2017 12:00:00 AM,1 - 5,3,CHARLIE 300 REG III PATROL,3130813,10073236,1,1,78721,21,TRAVIS COUNTY,Level 4,0,0,0,0,0,0,1
20205117031523111AP8448,202051170,01/05/2020 12:00:00 AM,-,1100 BLOCK SPRINGDALE RD,Charlie,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,2,31523111: 202051170,3 - Defensive Resistance,CED - PRONGS MISSED-ENTER # CYCLES (use #shots field),WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,1,4 - Complaint Of Injury/Pain,MINOR INJURY,06/23/2017 12:00:00 AM,1 - 5,3,CHARLIE 500 REG III PATROL,3130813,10073236,1,1,78721,21,TRAVIS COUNTY,Level 2,0,0,1,0,0,0,1
20205201396947331AP6781,2020520139,02/21/2020 12:00:00 AM,0200,401 E 6TH ST,George,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,6947331: 2020520139,3 - Defensive Resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),-,-,-,-,-,6 - No Complaint Of Injury/Pain,NO COMPLAINT OF INJURY/PAIN,04/23/2010 12:00:00 AM,6 - 10,10,GEORGE 900 REG I NIGHTS,3115440,10070324,9,1,78701,11,TRAVIS COUNTY,Level 3,0,0,0,0,0,0,1
